date,unit_name,unit_id,type,title,category,budget,award_amount,awarded_at,companies,job_number,url,notice_date,award_way,county,county_code,town_code,contact_person,contact_phone,losing_supplier,filename
20260504,國立中山大學,,招標公告,電子束微影系統,財物類,,,20260504,,115R005,https://www.google.com/search?q=115R005+%E9%9B%BB%E5%AD%90%E6%9D%9F%E5%BE%AE%E5%BD%B1%E7%B3%BB%E7%B5%B1,,,,,,,,,tender_20260302.xml
20260430,中央警察大學,,招標公告,中央警察大學生成式人工智慧科技犯罪偵防實驗室建置案,勞務類,,,20260430,,115GA7037,https://www.google.com/search?q=115GA7037+%E4%B8%AD%E5%A4%AE%E8%AD%A6%E5%AF%9F%E5%A4%A7%E5%AD%B8%E7%94%9F%E6%88%90%E5%BC%8F%E4%BA%BA%E5%B7%A5%E6%99%BA%E6%85%A7%E7%A7%91%E6%8A%80%E7%8A%AF%E7%BD%AA%E5%81%B5%E9%98%B2%E5%AF%A6%E9%A9%97%E5%AE%A4%E5%BB%BA%E7%BD%AE%E6%A1%88,,,,,,,,,tender_20260302.xml
20260430,中央警察大學,,招標公告,中央警察大學區塊鏈犯罪鑑識、深偽聲紋鑑識、AI整合鑑識平台建置案,勞務類,,,20260430,,115GA7035,https://www.google.com/search?q=115GA7035+%E4%B8%AD%E5%A4%AE%E8%AD%A6%E5%AF%9F%E5%A4%A7%E5%AD%B8%E5%8D%80%E5%A1%8A%E9%8F%88%E7%8A%AF%E7%BD%AA%E9%91%91%E8%AD%98%E3%80%81%E6%B7%B1%E5%81%BD%E8%81%B2%E7%B4%8B%E9%91%91%E8%AD%98%E3%80%81AI%E6%95%B4%E5%90%88%E9%91%91%E8%AD%98%E5%B9%B3%E5%8F%B0%E5%BB%BA%E7%BD%AE%E6%A1%88,,,,,,,,,tender_20260302.xml
20260429,內政部警政署刑事警察局,,招標公告,115年「購置虛擬貨幣情資分析工具授權使用費-虛擬貨幣分析軟體及微型化分析環境」,財物類,,,20260429,,115CCN07-2,https://www.google.com/search?q=115CCN07-2+115%E5%B9%B4%E3%80%8C%E8%B3%BC%E7%BD%AE%E8%99%9B%E6%93%AC%E8%B2%A8%E5%B9%A3%E6%83%85%E8%B3%87%E5%88%86%E6%9E%90%E5%B7%A5%E5%85%B7%E6%8E%88%E6%AC%8A%E4%BD%BF%E7%94%A8%E8%B2%BB-%E8%99%9B%E6%93%AC%E8%B2%A8%E5%B9%A3%E5%88%86%E6%9E%90%E8%BB%9F%E9%AB%94%E5%8F%8A%E5%BE%AE%E5%9E%8B%E5%8C%96%E5%88%86%E6%9E%90%E7%92%B0%E5%A2%83%E3%80%8D,,,,,,,,,tender_20260302.xml
20260428,桃園國際機場股份有限公司,,招標公告,個人資料保護管理制度 (PIMS) 維運及認證導入,勞務類,,,20260428,,115-2-00024,https://www.google.com/search?q=115-2-00024+%E5%80%8B%E4%BA%BA%E8%B3%87%E6%96%99%E4%BF%9D%E8%AD%B7%E7%AE%A1%E7%90%86%E5%88%B6%E5%BA%A6+%28PIMS%29+%E7%B6%AD%E9%81%8B%E5%8F%8A%E8%AA%8D%E8%AD%89%E5%B0%8E%E5%85%A5,,,,,,,,,tender_20260302.xml
20260427,高雄榮民總醫院,,招標公告,神經外科用金屬椎體替代系統計1項(開口契約),財物類,,,20260427,,SP15075,https://www.google.com/search?q=SP15075+%E7%A5%9E%E7%B6%93%E5%A4%96%E7%A7%91%E7%94%A8%E9%87%91%E5%B1%AC%E6%A4%8E%E9%AB%94%E6%9B%BF%E4%BB%A3%E7%B3%BB%E7%B5%B1%E8%A8%881%E9%A0%85%28%E9%96%8B%E5%8F%A3%E5%A5%91%E7%B4%84%29,,,,,,,,,tender_20260302.xml
20260427,台灣中油股份有限公司,,招標公告,臥式三相離心機含工作平台1套及安裝,財物類,,,20260427,,B0314V005,https://www.google.com/search?q=B0314V005+%E8%87%A5%E5%BC%8F%E4%B8%89%E7%9B%B8%E9%9B%A2%E5%BF%83%E6%A9%9F%E5%90%AB%E5%B7%A5%E4%BD%9C%E5%B9%B3%E5%8F%B01%E5%A5%97%E5%8F%8A%E5%AE%89%E8%A3%9D,,,,,,,,,tender_20260302.xml
20260427,臺北榮民總醫院,,招標公告,電腦耗材二年單價開口契約,財物類,,,20260427,,1150141B,https://www.google.com/search?q=1150141B+%E9%9B%BB%E8%85%A6%E8%80%97%E6%9D%90%E4%BA%8C%E5%B9%B4%E5%96%AE%E5%83%B9%E9%96%8B%E5%8F%A3%E5%A5%91%E7%B4%84,,,,,,,,,tender_20260302.xml
20260423,桃園國際機場股份有限公司,,招標公告,115~116年桃園國際機場委託特高壓變電站供電系統運維契約專業諮詢服務案,勞務類,,,20260423,,115-2-00036,https://www.google.com/search?q=115-2-00036+115~116%E5%B9%B4%E6%A1%83%E5%9C%92%E5%9C%8B%E9%9A%9B%E6%A9%9F%E5%A0%B4%E5%A7%94%E8%A8%97%E7%89%B9%E9%AB%98%E5%A3%93%E8%AE%8A%E9%9B%BB%E7%AB%99%E4%BE%9B%E9%9B%BB%E7%B3%BB%E7%B5%B1%E9%81%8B%E7%B6%AD%E5%A5%91%E7%B4%84%E5%B0%88%E6%A5%AD%E8%AB%AE%E8%A9%A2%E6%9C%8D%E5%8B%99%E6%A1%88,,,,,,,,,tender_20260302.xml
20260423,運動部,,招標公告,運動部115-116年度資訊設備維護服務案,勞務類,,,20260423,,115-02-017,https://www.google.com/search?q=115-02-017+%E9%81%8B%E5%8B%95%E9%83%A8115-116%E5%B9%B4%E5%BA%A6%E8%B3%87%E8%A8%8A%E8%A8%AD%E5%82%99%E7%B6%AD%E8%AD%B7%E6%9C%8D%E5%8B%99%E6%A1%88,,,,,,,,,tender_20260302.xml
